symbol,Date,close,high,low,open,volume
DATA,2014-02-10,89.49,91,87.49,90,1095800
DATA,2014-02-11,94.59,95,88.8142,89.74,1349200
DATA,2014-02-12,92.46,96.9,91.42,94.96,1143300
DATA,2014-02-13,97.57,97.99,92.6,93.44,1688200
DATA,2014-02-14,97.93,98.6082,95.77,96.77,725600
DATA,2014-02-18,96.59,98.3953,96.3,98.14,545900
DATA,2014-02-19,94.38,96.8999,93.1,96.18,785800
DATA,2014-02-20,97.13,97.43,94.3859,94.7,813800
DATA,2014-02-21,100.05,100.73,97.46,98,1444500
DATA,2014-02-24,98.73,100.4,98.19,99.95,962400
DATA,2014-02-25,100.28,101.71,98.44,99,734700
DATA,2014-02-26,98.26,102.37,97.08,101.86,941200
DATA,2014-02-27,97,97.53,94,96.5,2343700
DATA,2014-02-28,94.34,99.4,90.97,97,1840800
DATA,2014-03-03,95.57,96.78,92.21,93.23,1110000
DATA,2014-03-04,97.24,97.96,96.26,97.96,1057200
DATA,2014-03-05,94.35,95.8,93.1,95.5,1169500
DATA,2014-03-06,94.33,96.632,93.78,94.44,942400
DATA,2014-03-07,90.84,95.5,90.11,94.58,1387600
DATA,2014-03-10,90.88,93.6899,89.46,90.14,1002000
DATA,2014-03-11,91.05,93.08,90.02,91.05,1017000
DATA,2014-03-12,90.65,91.85,88.23,90.01,1304500
DATA,2014-03-13,89.15,93.6,88.48,90.57,1074900
DATA,2014-03-14,90.31,91.23,88.52,88.73,1014900
DATA,2014-03-17,90.46,92,86.7,91.23,1159100
DATA,2014-03-18,92.04,92.97,89.36,91.62,997200
DATA,2014-03-19,89.22,92.39,87.821,92.15,1090300
DATA,2014-03-20,90.02,91.43,88.13,88.45,1642100
DATA,2014-03-21,83.29,90.684,83.29,89.25,5519200
DATA,2014-03-24,79.42,84.14,77.11,84.14,3999300
DATA,2014-03-25,74.88,80.44,74.25,79.47,3436400
DATA,2014-03-26,74.24,76.25,72.2,75.52,2209900
DATA,2014-03-27,73.86,76.41,72.0531,74.18,2159500
DATA,2014-03-28,76.2,76.2,73.45,74.25,2760200
DATA,2014-03-31,76.08,78,75.52,76.21,1537000
DATA,2014-04-01,81.18,81.28,76.99,78.35,2757400
DATA,2014-04-02,77.74,82.1,77.4,81.45,1601900
DATA,2014-04-03,71.81,77.99,70.97,77.76,2227500
DATA,2014-04-04,71.12,73.98,69.05,72.9,2969300
DATA,2014-04-07,69.52,71.65,66.17,70.1,2390300
DATA,2014-04-08,68.47,71.53,68.2,69.72,1434500
DATA,2014-04-09,72.87,73.72,69.1701,69.21,1735200
DATA,2014-04-10,65.52,72.27,63.9,71.93,2693800
DATA,2014-04-11,63.17,66.05,63,63.78,1676800
DATA,2014-04-14,64.38,67.14,63.36,63.89,1165600
DATA,2014-04-15,63.48,65.91,61.72,64.49,1732100
DATA,2014-04-16,64.01,65.15,61.88,64.4,1682700
DATA,2014-04-17,64.68,65.68,62.53,64,1164100
DATA,2014-04-21,63.61,65.26,62.82,65.07,737200
DATA,2014-04-22,67,68.63,63.5301,63.85,2190800
DATA,2014-04-23,63.33,67.1,63.1,67.1,1257800
DATA,2014-04-24,59.94,63.9654,56.97,63.59,2800700
DATA,2014-04-25,56.23,60.34,55.88,59.09,2033800
DATA,2014-04-28,55.75,57.82,53.7,56.36,2150900
DATA,2014-04-29,56.65,57.45,53.6401,56.02,3088600
DATA,2014-04-30,55.27,56.34,54.6,56.34,1441200
DATA,2014-05-01,58.32,59.58,55.32,55.71,3025700
DATA,2014-05-02,58.46,59.21,56.37,58.57,2487400
DATA,2014-05-05,57.99,59.08,57.05,57.7,3870800
DATA,2014-05-06,58.02,62.95,56.6,61.98,8200700
DATA,2014-05-07,56.36,59,52.82,58.73,4382900
DATA,2014-05-08,55.21,57.98,53.14,55.44,3186000
DATA,2014-05-09,55,56.189,53.14,54.93,2479300
DATA,2014-05-12,57.85,58.09,54.27,55,2257500
DATA,2014-05-13,54.13,58.1,53.88,57.7,3262900
DATA,2014-05-14,54.78,57,53.4,53.6,2307700
DATA,2014-05-15,54.39,55.11,52.02,54.75,2524200
DATA,2014-05-16,54.61,54.87,52.75,54.61,1520100
DATA,2014-05-19,57.66,58.19,54.03,54.34,2763300
